Skill,Level,XP,Rank,As_of
attack,88,4399913,699595,09-15-2024
defence,90,5374160,574273,09-15-2024
strength,99,13139683,482132,09-15-2024
hitpoints,99,19978091,326636,09-15-2024
ranged,99,18872295,264768,09-15-2024
prayer,85,3360719,321218,09-15-2024
magic,99,15863333,199382,09-15-2024
cooking,80,2055684,824326,09-15-2024
woodcutting,75,1229269,919714,09-15-2024
fletching,75,1301283,860446,09-15-2024
fishing,75,1241432,870952,09-15-2024
firemaking,75,1269456,1046949,09-15-2024
crafting,80,2006003,560913,09-15-2024
smithing,90,5351487,188951,09-15-2024
mining,74,1123289,829391,09-15-2024
herblore,99,14964258,12088,09-15-2024
agility,76,1391182,549489,09-15-2024
thieving,82,2520066,384205,09-15-2024
slayer,90,5709233,407197,09-15-2024
farming,93,7792943,338118,09-15-2024
runecrafting,72,979567,434634,09-15-2024
hunter,76,1439617,527552,09-15-2024
construction,84,3054099,285213,09-15-2024
