Activity,KC,Rank,As_of
League Points,0,0,1/10/2025
Deadman Points,0,0,1/10/2025
Bounty Hunter - Hunter,0,0,1/10/2025
Bounty Hunter - Rogue,0,0,1/10/2025
Bounty Hunter (Legacy) - Hunter,0,0,1/10/2025
Bounty Hunter (Legacy) - Rogue,0,0,1/10/2025
Clue Scrolls (all),111,444756,1/10/2025
Clue Scrolls (beginner),18,261892,1/10/2025
Clue Scrolls (easy),17,352708,1/10/2025
Clue Scrolls (medium),9,730425,1/10/2025
Clue Scrolls (hard),37,466886,1/10/2025
Clue Scrolls (elite),15,250924,1/10/2025
Clue Scrolls (master),15,135227,1/10/2025
LMS - Rank,525,281748,1/10/2025
PvP Arena - Rank,2978,5655,1/10/2025
Soul Wars Zeal,0,0,1/10/2025
Rifts closed,167,193960,1/10/2025
