Monster,Name,Description,Type,Tier,Points,Complete
Aberrant Spectre,Noxious Foe,Kill an Aberrant Spectre.,Kill Count,Easy,1,Y
Abyssal Sire,Abyssal Adept,Kill the Abyssal Sire 20 times.,Kill Count,Hard,3,Y
Abyssal Sire,Don't Whip Me,Kill the Abyssal Sire without being hit by any external tentacles.,Mechanical,Hard,3,Y
Abyssal Sire,They Grow Up Too Fast,Kill the Abyssal Sire without letting any Scion mature.,Mechanical,Hard,3,Y
Abyssal Sire,Don't Stop Moving,Kill the Abyssal Sire without taking damage from any miasma pools.,Perfection,Hard,3,Y
Abyssal Sire,Abyssal Veteran,Kill the Abyssal Sire 50 times.,Kill Count,Elite,4,Y
Abyssal Sire,Perfect Sire,"Kill the Abyssal Sire without taking damage from the external tentacles, miasma pools, explosion or damage from the Abyssal Sire without praying the appropriate protection prayer.",Perfection,Elite,4,Y
Abyssal Sire,Respiratory Runner,Kill the Abyssal Sire after only stunning him once.,Mechanical,Elite,4,Y
Abyssal Sire,Demonic Rebound,Use the Vengeance spell to reflect the damage from the Abyssal Sire's explosion back to him.,Mechanical,Elite,4,Y
Alchemical Hydra,Alchemical Veteran,Kill the Alchemical Hydra 75 times.,Kill Count,Elite,4,Y
Alchemical Hydra,Working Overtime,Kill the Alchemical Hydra 15 times without leaving the room.,Stamina,Master,5,Y
Alchemical Hydra,Mixing Correctly,Kill the Alchemical Hydra without empowering it.,Mechanical,Master,5,Y
Alchemical Hydra,The Flame Skipper,Kill the Alchemical Hydra without letting it spawn a flame wall attack.,Mechanical,Master,5,Y
Alchemical Hydra,Unrequired Antipoisons,Kill the Alchemical Hydra without being hit by the acid pool attack.,Mechanical,Master,5,Y
Alchemical Hydra,Alcleanical Hydra,Kill the Alchemical Hydra without taking any damage.,Perfection,Master,5,Y
Alchemical Hydra,Alchemical Master,Kill the Alchemical Hydra 150 times.,Kill Count,Master,5,Y
Alchemical Hydra,Alchemical Speed-Chaser,Kill the Alchemical Hydra in less than 1 minute 45 seconds.,Speed,Master,5,
Alchemical Hydra,Don't Flame Me,Kill the Alchemical Hydra without being hit by the flame wall attack.,Mechanical,Master,5,Y
Alchemical Hydra,Lightning Lure,Kill the Alchemical Hydra without being hit by the lightning attack.,Mechanical,Master,5,Y
Alchemical Hydra,Alchemical Speed-Runner,Kill the Alchemical Hydra in less than 1 minute 20 seconds.,Speed,Grandmaster,6,
Alchemical Hydra,No Pressure,Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.,Restriction,Grandmaster,6,
Amoxliatl,Temotli Triumph,Kill Amoxliatl using only glacial temotli as a weapon.,Restriction,Medium,2,Y
Amoxliatl,Amoxliatl Champion,Kill Amoxliatl once.,Kill Count,Medium,2,Y
Amoxliatl,Amoxliatl Speed-Trialist,Kill Amoxliatl in less than 1 minute.,Speed,Hard,3,Y
Amoxliatl,Amoxliatl Adept,Kill Amoxliatl 20 times.,Kill Count,Hard,3,Y
Amoxliatl,Totally Shattered,Kill Amoxliatl without any of her unstable ice shattering.,Mechanical,Hard,3,Y
Amoxliatl,Kemo Makti,Kill Amoxliatl 10 times without leaving her chamber.,Stamina,Hard,3,Y
Amoxliatl,Nagua Negation,Kill Amoxliatl without taking any damage.,Perfection,Hard,3,Y
Amoxliatl,Without Ralos' Light,Kill Amoxliatl without losing any prayer points.,Restriction,Elite,4,Y
Amoxliatl,Amoxliatl Speed-Chaser,Kill Amoxliatl in less than 30 seconds.,Speed,Elite,4,Y
Araxxor,Araxxor Speed-Trialist,Kill Araxxor 4 times in 10:00.,Speed,Elite,4,Y
Araxxor,Relaxxor,Kill Araxxor after destroying six eggs.,Restriction,Elite,4,Y
Araxxor,Araxxor Veteran,Kill Araxxor 25 times.,Kill Count,Elite,4,Y
Araxxor,Araxyte Betrayal,Have an Araxyte kill three other Araxytes.,Mechanical,Master,5,Y
Araxxor,Perfect Araxxor,"Kill Araxxor perfectly, without taking damage from Araxxor's Mage & Range attacks, melee attack off prayer, araxyte minions damage, or damage from acid pools.",Perfection,Master,5,Y
Araxxor,Araxxor Speed-Chaser,Kill Araxxor 5 times in 10:00.,Speed,Master,5,Y
Araxxor,Araxxor Master,Kill Araxxor 75 times.,Kill Count,Master,5,Y
Araxxor,Arachnid Lover,Kill Araxxor 10 times without leaving.,Stamina,Master,5,
Araxxor,Let it seep in,Kill Araxxor without ever having venom or poison immunity.,Restriction,Master,5,Y
Araxxor,Perfect Araxxor 2,"Kill Araxxor perfectly, without hitting it during the enrage phase.",Perfection,Grandmaster,6,
Araxxor,Swimming in Venom,Kill Araxxor without the boss ever moving.,Restriction,Grandmaster,6,Y
Araxxor,Araxxor Speed-Runner,Kill Araxxor 6 times in 10:00.,Speed,Grandmaster,6,
Barrows,Barrows Novice,Open the Barrows chest 10 times.,Kill Count,Easy,1,Y
Barrows,Defence? What Defence?,Kill any Barrows Brother using only magical damage.,Restriction,Easy,1,Y
Barrows,Pray for Success,Kill all six Barrows Brothers and loot the Barrows chest without taking any damage from any of the brothers.,Perfection,Medium,2,Y
Barrows,Barrows Champion,Open the Barrows chest 25 times.,Kill Count,Medium,2,Y
Barrows,Can't Touch Me,"Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.",Mechanical,Medium,2,Y
Barrows,Faithless Crypt Run,Kill all six Barrows Brothers and loot the Barrows chest without ever having more than 0 prayer points.,Restriction,Hard,3,Y
Barrows,Just Like That,Kill Karil using only damage dealt by special attacks.,Restriction,Hard,3,Y
Basilisk Knight,Reflecting on This Encounter,Kill a Basilisk Knight.,Kill Count,Elite,4,Y
Black Dragon,"Big, Black and Fiery",Kill a Black Dragon.,Kill Count,Easy,1,Y
Bloodveld,The Demonic Punching Bag,Kill a Bloodveld.,Kill Count,Easy,1,Y
Brutal Black Dragon,"Brutal, Big, Black and Firey",Kill a Brutal Black Dragon.,Kill Count,Medium,2,Y
Bryophyta,Protection from Moss,Kill Bryophyta with the Protect from Magic prayer active.,Mechanical,Easy,1,Y
Bryophyta,A Slow Death,Kill Bryophyta with either poison or venom being the final source of damage.,Restriction,Easy,1,Y
Bryophyta,Preparation Is Key,Kill Bryophyta without suffering any poison damage.,Perfection,Easy,1,Y
Bryophyta,Bryophyta Novice,Kill Bryophyta once.,Kill Count,Easy,1,Y
Bryophyta,Fighting as Intended II,Kill Bryophyta on a free to play world.,Restriction,Easy,1,Y
Bryophyta,Quick Cutter,Kill all 3 of Bryophyta's growthlings within 3 seconds of the first one dying.,Mechanical,Medium,2,Y
Bryophyta,Bryophyta Champion,Kill Bryophyta 5 times.,Kill Count,Medium,2,Y
Callisto,Callisto Adept,Kill Callisto 10 times.,Kill Count,Hard,3,Y
Callisto,Callisto Veteran,Kill Callisto 20 times.,Kill Count,Elite,4,Y
Cerberus,Anti-Bite Mechanics,Kill Cerberus without taking any melee damage.,Perfection,Elite,4,Y
Cerberus,Ghost Buster,Kill Cerberus after successfully negating 6 or more attacks from Summoned Souls.,Mechanical,Elite,4,
Cerberus,Cerberus Veteran,Kill Cerberus 75 times.,Kill Count,Elite,4,
Cerberus,Unrequired Antifire,Kill Cerberus without taking damage from any lava pools.,Perfection,Elite,4,Y
Cerberus,Arooo No More,Kill Cerberus without any of the Summoned Souls being spawned.,Mechanical,Master,5,Y
Cerberus,Cerberus Master,Kill Cerberus 150 times.,Kill Count,Master,5,
Chambers of Xeric,Shayzien Specialist,Receive kill-credit for a Lizardman Shaman without taking damage from any shamans in the room.,Perfection,Elite,4,
Chambers of Xeric,Redemption Enthusiast,Kill the Abyssal Portal without forcing Vespula to land.,Mechanical,Elite,4,
Chambers of Xeric,Kill It with Fire,Finish off the Ice Demon with a fire spell.,Restriction,Elite,4,
Chambers of Xeric,Mutta-diet,Kill the Muttadile without letting her or her baby recover hitpoints from the meat tree.,Mechanical,Elite,4,
Chambers of Xeric,Blizzard Dodger,Receive kill-credit for the Ice Demon without activating the Protect from Range prayer.,Restriction,Elite,4,
Chambers of Xeric,Cryo No More,Receive kill-credit for the Ice Demon without taking any damage.,Perfection,Elite,4,
Chambers of Xeric,Perfectly Balanced,Kill the Vanguards without them resetting their health.,Mechanical,Elite,4,
Chambers of Xeric,Dancing with Statues,Receive kill-credit for a Stone Guardian without taking damage from falling rocks.,Perfection,Elite,4,
Chambers of Xeric,Chambers of Xeric Veteran,Complete the Chambers of Xeric 25 times.,Kill Count,Elite,4,
Chambers of Xeric,Undying Raid Team,Complete a Chambers of Xeric raid without anyone dying.,Perfection,Elite,4,
Chambers of Xeric,Together We'll Fall,Kill the Vanguards within 10 seconds of the first one dying.,Mechanical,Elite,4,
Chambers of Xeric,Chambers of Xeric (Trio) Speed-Chaser,Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.,Speed,Master,5,
Chambers of Xeric,Chambers of Xeric Master,Complete the Chambers of Xeric 75 times.,Kill Count,Master,5,
Chambers of Xeric,Chambers of Xeric (Solo) Speed-Chaser,Complete a Chambers of Xeric (Solo) in less than 21 minutes.,Speed,Master,5,
Chambers of Xeric,Anvil No More,Kill Tekton before he returns to his anvil for a second time after the fight begins.,Mechanical,Master,5,
Chambers of Xeric,A Not So Special Lizard,"Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.",Mechanical,Master,5,
Chambers of Xeric,Chambers of Xeric (5-Scale) Speed-Chaser,Complete a Chambers of Xeric (5-scale) in less than 15 minutes.,Speed,Master,5,
Chambers of Xeric,Blind Spot,Kill Tekton without taking any damage.,Perfection,Master,5,
